i,i_user_agg_count_mean,i_user_agg_count_std,i_user_agg_count_max,i_user_agg_count_median,i_user_agg_amount_mean,i_user_agg_amount_std,i_user_agg_amount_max,i_user_agg_amount_median
15130033,1.0,0.0,1,1,5.5,0.0,5.5,5.5
15130034,1.33,0.47,2,1,7.33,2.59,11.0,5.5
15130035,1.11,0.31,2,1,13.33,3.77,24.0,12.0
15130036,1.0,0.0,1,1,9.9,0.0,9.9,9.9
15131001,1.0,0.0,1,1,8.9,0.0,8.9,8.9
15131002,1.0,0.0,1,1,5.5,0.0,5.5,5.5
15139002,1.0,0.0,1,1,9.6,0.0,9.6,9.6
15139008,1.0,0.0,1,1,8.5,0.0,8.5,8.5
15139013,1.0,0.0,1,1,9.9,0.0,9.9,9.9
15139014,1.0,0.0,1,1,8.5,0.0,8.5,8.5
15139015,1.0,0.0,1,1,8.5,0.0,8.5,8.5
15140001,1.0,0.0,1,1,19.8,0.0,19.8,19.8
15140002,1.0,0.0,1,1,19.8,0.0,19.8,19.8
15140004,1.0,0.0,1,1,19.8,0.0,19.8,19.8
15140006,1.0,0.0,1,1,19.8,0.0,19.8,19.8
15140008,5.0,0.0,5,5,111.0,0.0,111.0,111.0
15140012,1.0,0.0,1,1,22.8,0.0,22.8,22.8
15140015,2.0,0.0,2,2,39.6,0.0,39.6,39.6
15140018,1.0,0.0,1,1,19.8,0.0,19.8,19.8
15149000,2.0,0.0,2,2,9.0,0.0,9.0,9.0
15149001,2.0,0.0,2,2,19.8,0.0,19.8,19.8
15149002,1.5,0.5,2,2,28.2,9.4,37.6,37.6
15149003,3.0,0.0,3,3,56.4,0.0,56.4,56.4
15149004,1.0,0.0,1,1,18.8,0.0,18.8,18.8
15149005,1.0,0.0,1,1,18.8,0.0,18.8,18.8
15149006,1.0,0.0,1,1,18.8,0.0,18.8,18.8
15200001,1.5,0.5,2,2,9.2,4.6,13.8,13.8
15200004,1.25,0.43,2,1,36.25,26.22,92.8,46.4
15200007,1.35,0.57,3,1,20.93,12.64,36.8,18.4
15200008,1.33,0.67,3,1,29.97,26.23,92.8,11.6
15200009,1.0,0.0,1,1,3.2,0.0,3.2,3.2
15200012,1.5,0.5,2,2,27.3,12.93,46.8,31.2
15201001,5.0,0.0,5,5,16.5,0.0,16.5,16.5
15201002,1.0,0.0,1,1,12.0,0.0,12.0,12.0
15201003,1.0,0.0,1,1,3.3,0.0,3.3,3.3
15202001,1.0,0.0,1,1,30.0,0.0,30.0,30.0
15202002,1.5,0.5,2,2,6.8,3.4,10.2,10.2
15202003,1.0,0.0,1,1,54.0,0.0,54.0,54.0
15202007,2.0,0.0,2,2,144.0,0.0,144.0,144.0
15202008,2.0,0.0,2,2,6.0,0.0,6.0,6.0
15202012,1.0,0.0,1,1,4.9,0.0,4.9,4.9
15202013,2.0,1.0,3,3,48.75,29.25,78.0,78.0
